"","ACRES","AREA","BATHS","PRICE","YEAR"
"3813 Northbrook Dr",0.28,1562,2,195000,1971
"209 Silo Ct",0.36,1650,1,106000,1976
"5019 Olivia Dr",0.28,1794,2,290000,1938
"3202 Doak Ave",0.2,1242,1.5,52000,1975
"400 Asheford Ct",0.2,938,1,129900,1930
"101 Heathcote Ct",0.18,975,1,80000,1963
"1715 Welcome Ln",0.26,915,1,135000,1920
"3604 Stonewood Ct",0.36,1770,2.5,324900,2016
"912 Strouse Ave",0.14,875,1,145000,1955
"1108 Clarke St",0.11,1422,2,166000,1948
"2848 Lera Jones Dr",0.32,1648,1,148000,1953
"1442 Mohawk Trl",0.18,1840,1.5,159000,1962
"553 Westboro Dr",0.55,1680,2,267000,1946
"2129 Riverside Dr",0.31,935,1,69900,1956
"324 Randy Rd",1.14,1050,2,128900,1993
"5141 Hilson Rd",0.87,1280,2,190000,1950
"3408 Lallemand Dr",0.9,850,1,65500,1964
"3322 Park Ave",0.17,1970,2,253000,1951
"1307 Grandview Dr",0.19,1890,2,200000,1963
"1313 Norvel Ave",0.19,1257,2,131900,1979
"1000 Drummond Dr",1.37,992,1,300000,1976
"2325 Rader Ridge Rd",0.29,937,1,75000,1934
"6520 Cougar Dr",0.27,1825,1,105100,1952
"1209 A Dallas Ave",0.09,1475,1.5,118000,1963
"7670 Charlotte Pike",1.21,1711,1.5,192000,1974
"224 Treutland Ave",0.18,1128,1,169900,1949
"616 Royal Oaks Pl",0.87,1294,1,120000,1956
"1540 Mohawk Trl",0.18,1325,1.5,147000,1969
"212 Bonnabrook Dr",0.32,816,1,104000,1952
"1213 Thompson Pl",0.32,1066,1,85900,1930
"2225 Aubrey Ct",0.59,1248,1,80000,1962
"1214 Stratford Ave",0.48,866,1,52000,1928
"3514 Hewlett Dr",0.27,1873,2.5,390000,1940
"3107 Richmond Hill Dr",0.25,1025,1.5,133000,1967
"636 Kinsey Blvd",0.23,1647,2,120000,1962
"4306 Lealand Ln",0.46,1205,2,163500,1987
"105 Blackstone Pl",0.33,820,1,585000,1936
"508 Cornet Dr",0.78,1102,2,252500,1953
"3641 Wood Bridge Dr",0.33,1894,1,205000,1962
"4506 Illinois Ave",0.09,1845,2.5,330000,1930
"2702 Meharry Blvd",0.2,1152,2,235000,1945
"3680 Richbriar Ct",0.48,1629,2,169900,1956
"1256 Mcalpine Ave",0.36,810,1,138000,1983
"309 Rachels Ct E",0.22,1632,2,134000,1989
"1205 2nd Ave S",0.11,1676,2,268000,2013
"415 Brook Hollow Rd",1.17,1426,2,220000,1960
"720 Summerly Dr",1.23,1125,1,240000,1968
"5514 Bon Air Cir",0.41,630,1,100000,1950
"5709 St Charles Ct",0.04,1505,2,327000,2009
"1402 Bell Trace Dr",0.12,950,1,109000,1962
"538 Debbie Dr",0.16,1000,1,129000,1956
"2215 Weona Dr",0.23,1038,1,22000,1961
"837 Netherlands Dr",0.22,1260,1.5,11500,2015
"949 Maxwell Ave",0.17,1000,1,123000,1965
"739 Fitzpatrick Rd",0.14,975,1,145000,1930
"318 Paragon Mills Rd",0.21,1233,1,144900,1936
"1925 Castleman Dr",0.4,750,1,215000,1950
"2428 Adlai St",0.11,1336,2,192500,1946
"2711 Hemingway Dr",0.95,1132,2.5,210500,2004
"3043 Hillside Rd",1.61,1632,1,210000,1950
"284 Mcgavock Pike",0.76,1175,1.5,130000,1968
"902 Sunvalley Dr",0.49,950,1,88000,1963
"1201 Roberta St",0.25,1632,1.5,139050,1971
"1044 44th Ave N",0.17,1293,1.5,46000,1957
"219 Orlando Ave",0.21,1224,2,180000,1979
"1304 Pennock Ave",0.3,1329,1.5,80000,1955
"522 Ben Allen Rd",0.39,1525,2,134900,1967
"2926 Donna Hill Dr",0.67,1575,2,263000,1964
"106 Mildred Ct",0.53,1895,2,391000,1948
"205 Nix Dr",0.49,994,1,75000,1951
"197 Manchester Ave",0.12,1418,1.5,108000,1973
"1521 Long Ave",0.23,1989,3,75000,1958
"2965 Baby Ruth Ln",0.2,1666,3,304000,1984
"4609 Villa Green Dr",1.01,675,1,133500,1935
"2312 Cabin Hill Rd",0.36,1025,1,124000,1969
