Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
0,Female,0,Yes,No,1,No,Month-to-month,Yes,Electronic check,29.85,29.85
0,Male,0,No,No,34,Yes,One year,No,Mailed check,56.95,1889.5
1,Male,0,No,No,2,Yes,Month-to-month,Yes,Mailed check,53.85,108.15
0,Male,0,No,No,45,No,One year,No,Bank transfer (automatic),42.3,1840.75
1,Female,0,No,No,2,Yes,Month-to-month,Yes,Electronic check,70.7,151.65
1,Female,0,No,No,8,Yes,Month-to-month,Yes,Electronic check,99.65,820.5
0,Male,0,No,Yes,22,Yes,Month-to-month,Yes,Credit card (automatic),89.1,1949.4
0,Female,0,No,No,10,No,Month-to-month,No,Mailed check,29.75,301.9
1,Female,0,Yes,No,28,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05
0,Male,0,No,Yes,62,Yes,One year,No,Bank transfer (automatic),56.15,3487.95
0,Male,0,Yes,Yes,13,Yes,Month-to-month,Yes,Mailed check,49.95,587.45
0,Male,0,No,No,16,Yes,Two year,No,Credit card (automatic),18.95,326.8
0,Male,0,Yes,No,58,Yes,One year,No,Credit card (automatic),100.35,5681.1
1,Male,0,No,No,49,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3
0,Male,0,No,No,25,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05
0,Female,0,Yes,Yes,69,Yes,Two year,No,Credit card (automatic),113.25,7895.15
0,Female,0,No,No,52,Yes,One year,No,Mailed check,20.65,1022.95
0,Male,0,No,Yes,71,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25
1,Female,0,Yes,Yes,10,Yes,Month-to-month,No,Credit card (automatic),55.2,528.35
0,Female,0,No,No,21,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9
1,Male,1,No,No,1,No,Month-to-month,Yes,Electronic check,39.65,39.65
0,Male,0,Yes,No,12,Yes,One year,No,Bank transfer (automatic),19.8,202.25
1,Male,0,No,No,1,Yes,Month-to-month,No,Mailed check,20.15,20.15
0,Female,0,Yes,No,58,Yes,Two year,Yes,Credit card (automatic),59.9,3505.1
0,Male,0,Yes,Yes,49,Yes,Month-to-month,No,Credit card (automatic),59.6,2970.3
0,Female,0,No,No,30,Yes,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6
1,Male,0,Yes,Yes,47,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15
1,Male,0,Yes,Yes,1,No,Month-to-month,No,Electronic check,30.2,30.2
0,Male,0,Yes,No,72,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45
1,Female,0,No,Yes,17,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1
0,Female,1,Yes,No,71,Yes,Two year,Yes,Credit card (automatic),96.35,6766.95
0,Male,1,Yes,No,2,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65
0,Female,0,Yes,Yes,27,Yes,One year,No,Mailed check,66.15,1874.45
0,Male,0,No,No,1,Yes,Month-to-month,No,Bank transfer (automatic),20.2,20.2
0,Male,1,No,No,1,Yes,Month-to-month,No,Bank transfer (automatic),45.25,45.25
0,Female,0,Yes,Yes,72,Yes,Two year,No,Bank transfer (automatic),99.9,7251.7
