Year,Month,Close
2021,6,230.99
2021,7,242.71
2021,8,237.46
2021,9,241.11
2021,10,245.55
2021,11,244.6
2021,12,268.07
2022,1,259.45
2022,2,244.77
2022,3,247.28
2022,4,249.16
2022,5,252.21
2022,6,246.88
2022,7,263.37
2022,8,252.28
2022,9,230.74
2022,10,272.66
2022,11,272.79
2022,12,263.53
2023,1,267.4
2023,2,263.91
2023,3,279.61
2023,4,295.75
2023,5,285.11
2023,6,298.41
2023,7,293.2
2023,8,281.15
2023,9,263.44
2023,10,262.17
2023,11,281.84
2023,12,296.51
2024,1,292.72
2024,2,292.28
2024,3,281.95
2024,4,273.04
2024,5,258.89
2024,6,254.84
2024,7,265.4
2024,8,288.66
2024,9,304.51
2024,10,292.11
2024,11,296.01
2024,12,289.89
2025,1,288.7
2025,2,308.33
2025,3,312.37
2025,4,319.65
2025,5,313.85
2025,6,292.17
2025,7,300.07
2025,8,313.54
2025,9,303.89
2025,10,298.43
2025,11,311.82
2025,12,305.63
2026,1,315
2026,2,341.06
2026,3,310.79
2026,4,293.59
2026,5,279.2
2026,6,284.77
