PassengerId,Survived,Sex,Age
2,Yes,female,38
3,Yes,female,26
4,Yes,female,35
9,Yes,female,27
10,Yes,female,14
11,Yes,female,4
12,Yes,female,58
16,Yes,female,55
18,Yes,male,
20,Yes,female,
22,Yes,male,34
23,Yes,female,15
24,Yes,male,28
26,Yes,female,38
29,Yes,female,
32,Yes,female,
33,Yes,female,
37,Yes,male,
40,Yes,female,14
44,Yes,female,3
45,Yes,female,19
48,Yes,female,
53,Yes,female,49
54,Yes,female,29
56,Yes,male,
57,Yes,female,21
59,Yes,female,5
62,Yes,female,38
66,Yes,male,
67,Yes,female,29
69,Yes,female,17
75,Yes,male,32
79,Yes,male,0.83
80,Yes,female,30
82,Yes,male,29
83,Yes,female,
85,Yes,female,17
86,Yes,female,33
89,Yes,female,23
98,Yes,male,23
99,Yes,female,34
107,Yes,female,21
108,Yes,male,
110,Yes,female,
124,Yes,female,32.5
126,Yes,male,12
128,Yes,male,24
129,Yes,female,
134,Yes,female,29
137,Yes,female,19
142,Yes,female,22
143,Yes,female,24
147,Yes,male,27
152,Yes,female,22
157,Yes,female,16
162,Yes,female,40
166,Yes,male,9
167,Yes,female,
173,Yes,female,1
184,Yes,male,1
185,Yes,female,4
187,Yes,female,
188,Yes,male,45
191,Yes,female,32
193,Yes,female,19
194,Yes,male,3
195,Yes,female,44
196,Yes,female,58
199,Yes,female,
205,Yes,male,18
208,Yes,male,26
209,Yes,female,16
210,Yes,male,40
212,Yes,female,35
216,Yes,female,31
217,Yes,female,27
219,Yes,female,32
221,Yes,male,16
225,Yes,male,38
227,Yes,male,19
231,Yes,female,35
234,Yes,female,5
238,Yes,female,8
242,Yes,female,
248,Yes,female,24
249,Yes,male,37
256,Yes,female,29
257,Yes,female,
258,Yes,female,30
259,Yes,female,35
260,Yes,female,50
262,Yes,male,3
268,Yes,male,25
269,Yes,female,58
270,Yes,female,35
272,Yes,male,25
273,Yes,female,41
275,Yes,female,
276,Yes,female,63
280,Yes,female,35
284,Yes,male,19
287,Yes,male,30
289,Yes,male,42
290,Yes,female,22
291,Yes,female,26
292,Yes,female,19
299,Yes,male,
300,Yes,female,50
301,Yes,female,
302,Yes,male,
304,Yes,female,
306,Yes,male,0.92
307,Yes,female,
308,Yes,female,17
310,Yes,female,30
311,Yes,female,24
312,Yes,female,18
316,Yes,female,26
317,Yes,female,24
319,Yes,female,31
320,Yes,female,40
323,Yes,female,30
324,Yes,female,22
326,Yes,female,36
328,Yes,female,36
329,Yes,female,31
330,Yes,female,16
331,Yes,female,
335,Yes,female,
338,Yes,female,41
339,Yes,male,45
341,Yes,male,2
342,Yes,female,24
346,Yes,female,24
347,Yes,female,40
348,Yes,female,
349,Yes,male,3
357,Yes,female,22
359,Yes,female,
360,Yes,female,
367,Yes,female,60
368,Yes,female,
369,Yes,female,
370,Yes,female,24
371,Yes,male,25
376,Yes,female,
377,Yes,female,22
381,Yes,female,42
382,Yes,female,1
384,Yes,female,35
388,Yes,female,36
390,Yes,female,17
391,Yes,male,36
392,Yes,male,21
394,Yes,female,23
395,Yes,female,24
400,Yes,female,28
401,Yes,male,39
408,Yes,male,3
413,Yes,female,33
415,Yes,male,44
417,Yes,female,34
418,Yes,female,18
427,Yes,female,28
428,Yes,female,19
430,Yes,male,32
431,Yes,male,28
432,Yes,female,
433,Yes,female,42
436,Yes,female,14
438,Yes,female,24
441,Yes,female,45
444,Yes,female,28
445,Yes,male,
446,Yes,male,4
447,Yes,female,13
448,Yes,male,34
449,Yes,female,5
450,Yes,male,52
454,Yes,male,49
456,Yes,male,29
458,Yes,female,
459,Yes,female,50
461,Yes,male,48
470,Yes,female,0.75
473,Yes,female,33
474,Yes,female,23
480,Yes,female,2
484,Yes,female,63
485,Yes,male,25
487,Yes,female,35
490,Yes,male,9
497,Yes,female,54
505,Yes,female,16
507,Yes,female,33
508,Yes,male,
510,Yes,male,26
511,Yes,male,29
513,Yes,male,36
514,Yes,female,54
517,Yes,female,34
519,Yes,female,36
521,Yes,female,30
524,Yes,female,44
527,Yes,female,50
531,Yes,female,2
534,Yes,female,
536,Yes,female,7
538,Yes,female,30
540,Yes,female,22
541,Yes,female,36
544,Yes,male,32
547,Yes,female,19
548,Yes,male,
550,Yes,male,8
551,Yes,male,17
554,Yes,male,22
555,Yes,female,22
557,Yes,female,48
559,Yes,female,39
560,Yes,female,36
570,Yes,male,32
571,Yes,male,62
572,Yes,female,53
573,Yes,male,36
574,Yes,female,
577,Yes,female,34
578,Yes,female,39
580,Yes,male,32
581,Yes,female,25
582,Yes,female,39
586,Yes,female,18
588,Yes,male,60
592,Yes,female,52
597,Yes,female,
600,Yes,male,49
601,Yes,female,24
605,Yes,male,35
608,Yes,male,27
609,Yes,female,22
610,Yes,female,40
613,Yes,female,
616,Yes,female,24
619,Yes,female,4
622,Yes,male,42
623,Yes,male,20
628,Yes,female,21
631,Yes,male,80
633,Yes,male,32
636,Yes,female,28
642,Yes,female,24
644,Yes,male,
645,Yes,female,0.75
646,Yes,male,48
648,Yes,male,56
650,Yes,female,23
652,Yes,female,18
654,Yes,female,
661,Yes,male,50
665,Yes,male,20
670,Yes,female,
671,Yes,female,40
674,Yes,male,31
678,Yes,female,18
680,Yes,male,36
682,Yes,male,27
690,Yes,female,15
691,Yes,male,31
692,Yes,female,4
693,Yes,male,
698,Yes,female,
701,Yes,female,18
702,Yes,male,35
707,Yes,female,45
708,Yes,male,42
709,Yes,female,22
710,Yes,male,
711,Yes,female,24
713,Yes,male,48
717,Yes,female,38
718,Yes,female,27
721,Yes,female,6
725,Yes,male,27
727,Yes,female,30
728,Yes,female,
731,Yes,female,29
738,Yes,male,35
741,Yes,male,
743,Yes,female,21
745,Yes,male,31
748,Yes,female,30
751,Yes,female,4
752,Yes,male,6
755,Yes,female,48
756,Yes,male,0.67
760,Yes,female,33
763,Yes,male,20
