age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
58,management,married,tertiary,no,2143,yes,no,unknown,5,may,1,-1,0,unknown,no
44,technician,single,secondary,no,29,yes,no,unknown,5,may,1,-1,0,unknown,no
33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,1,-1,0,unknown,no
47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,1,-1,0,unknown,no
33,unknown,single,unknown,no,1,no,no,unknown,5,may,1,-1,0,unknown,no
35,management,married,tertiary,no,231,yes,no,unknown,5,may,1,-1,0,unknown,no
28,management,single,tertiary,no,447,yes,yes,unknown,5,may,1,-1,0,unknown,no
42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,1,-1,0,unknown,no
58,retired,married,primary,no,121,yes,no,unknown,5,may,1,-1,0,unknown,no
43,technician,single,secondary,no,593,yes,no,unknown,5,may,1,-1,0,unknown,no
41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,1,-1,0,unknown,no
29,admin.,single,secondary,no,390,yes,no,unknown,5,may,1,-1,0,unknown,no
53,technician,married,secondary,no,6,yes,no,unknown,5,may,1,-1,0,unknown,no
58,technician,married,unknown,no,71,yes,no,unknown,5,may,1,-1,0,unknown,no
57,services,married,secondary,no,162,yes,no,unknown,5,may,1,-1,0,unknown,no
51,retired,married,primary,no,229,yes,no,unknown,5,may,1,-1,0,unknown,no
45,admin.,single,unknown,no,13,yes,no,unknown,5,may,1,-1,0,unknown,no
57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,1,-1,0,unknown,no
60,retired,married,primary,no,60,yes,no,unknown,5,may,1,-1,0,unknown,no
33,services,married,secondary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no
28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,1,-1,0,unknown,no
56,management,married,tertiary,no,779,yes,no,unknown,5,may,1,-1,0,unknown,no
32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,1,-1,0,unknown,no
25,services,married,secondary,no,50,yes,no,unknown,5,may,1,-1,0,unknown,no
40,retired,married,primary,no,0,yes,yes,unknown,5,may,1,-1,0,unknown,no
44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,1,-1,0,unknown,no
39,management,single,tertiary,no,255,yes,no,unknown,5,may,1,-1,0,unknown,no
52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,1,-1,0,unknown,no
46,management,single,secondary,no,-246,yes,no,unknown,5,may,2,-1,0,unknown,no
36,technician,single,secondary,no,265,yes,yes,unknown,5,may,1,-1,0,unknown,no
57,technician,married,secondary,no,839,no,yes,unknown,5,may,1,-1,0,unknown,no
49,management,married,tertiary,no,378,yes,no,unknown,5,may,1,-1,0,unknown,no
60,admin.,married,secondary,no,39,yes,yes,unknown,5,may,1,-1,0,unknown,no
59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no
51,management,married,tertiary,no,10635,yes,no,unknown,5,may,1,-1,0,unknown,no
57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,1,-1,0,unknown,no
25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,1,-1,0,unknown,no
53,technician,married,secondary,no,-3,no,no,unknown,5,may,1,-1,0,unknown,no
36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,1,-1,0,unknown,no
37,admin.,single,secondary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no
44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,1,-1,0,unknown,no
50,management,married,secondary,no,49,yes,no,unknown,5,may,2,-1,0,unknown,no
54,retired,married,secondary,no,529,yes,no,unknown,5,may,1,-1,0,unknown,no
58,retired,married,unknown,no,96,yes,no,unknown,5,may,1,-1,0,unknown,no
36,admin.,single,primary,no,-171,yes,no,unknown,5,may,1,-1,0,unknown,no
58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,1,-1,0,unknown,no
44,technician,married,secondary,no,0,yes,no,unknown,5,may,2,-1,0,unknown,no
55,technician,divorced,secondary,no,0,no,no,unknown,5,may,1,-1,0,unknown,no
29,management,single,tertiary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no
54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,1,-1,0,unknown,no
32,management,married,tertiary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no
42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,1,-1,0,unknown,no
24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,1,-1,0,unknown,no
38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,1,-1,0,unknown,no
38,management,single,tertiary,no,424,yes,no,unknown,5,may,1,-1,0,unknown,no
47,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,1,-1,0,unknown,no
40,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,1,-1,0,unknown,no
46,services,married,primary,no,179,yes,no,unknown,5,may,1,-1,0,unknown,no
32,admin.,married,tertiary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no
53,technician,divorced,secondary,no,989,yes,no,unknown,5,may,1,-1,0,unknown,no
57,blue-collar,married,primary,no,249,yes,no,unknown,5,may,1,-1,0,unknown,no
