"","Comfort","Environment","Work","Future","Benefit","science","optimist","Technology","Industry","tech","sciRank","techRank"
"376","agree","agree","agree","agree","agree",15,TRUE,"agree","agree",6,109,106
"193","agree","disagree","agree","disagree","agree",13,TRUE,"strongly agree","disagree",6,57,100
"367","agree","agree","agree","agree","agree",15,TRUE,"agree","strongly agree",7,119,140
"23","agree","agree","agree","agree","agree",15,TRUE,"agree","agree",6,112,94
"273","agree","disagree","disagree","strongly agree","strongly agree",15,TRUE,"strongly disagree","agree",4,105,16
"180","agree","agree","agree","strongly disagree","agree",13,TRUE,"disagree","agree",5,31,47
"297","agree","disagree","disagree","agree","agree",13,TRUE,"strongly agree","agree",7,47,119
"19","agree","disagree","disagree","agree","disagree",12,TRUE,"agree","agree",6,24,101
"280","agree","agree","strongly agree","strongly agree","agree",17,TRUE,"strongly disagree","strongly agree",5,152,27
"239","agree","agree","agree","agree","agree",15,TRUE,"agree","strongly agree",7,104,120
"218","agree","agree","agree","agree","agree",15,TRUE,"agree","agree",6,116,69
"102","strongly agree","strongly agree","disagree","agree","agree",16,TRUE,"agree","strongly agree",7,137,128
"242","strongly agree","strongly agree","agree","agree","agree",17,TRUE,"strongly agree","strongly agree",8,151,142
"47","agree","disagree","strongly agree","agree","agree",15,TRUE,"agree","agree",6,125,63
"143","agree","disagree","disagree","agree","agree",13,TRUE,"agree","agree",6,42,62
"116","agree","disagree","agree","agree","disagree",13,TRUE,"disagree","disagree",4,37,5
"78","agree","strongly agree","strongly agree","agree","agree",17,TRUE,"disagree","disagree",4,158,15
"383","agree","agree","disagree","disagree","strongly disagree",11,TRUE,"strongly agree","strongly agree",8,7,160
"379","agree","agree","strongly disagree","strongly agree","agree",14,TRUE,"agree","agree",6,71,91
"15","agree","strongly agree","disagree","agree","disagree",14,TRUE,"strongly agree","agree",7,85,123
"79","agree","agree","disagree","agree","agree",14,TRUE,"agree","agree",6,84,79
"136","agree","strongly agree","agree","agree","strongly disagree",14,TRUE,"strongly agree","strongly agree",8,68,151
"67","agree","strongly agree","disagree","disagree","disagree",13,TRUE,"disagree","agree",5,53,53
"305","agree","disagree","agree","agree","disagree",13,TRUE,"disagree","agree",5,39,59
"192","strongly agree","strongly agree","disagree","strongly agree","strongly agree",18,TRUE,"strongly agree","strongly agree",8,169,143
"91","agree","strongly disagree","strongly disagree","agree","agree",11,TRUE,"disagree","disagree",4,10,9
"103","agree","agree","strongly agree","agree","strongly agree",17,TRUE,"agree","strongly agree",7,149,122
"80","strongly agree","strongly agree","strongly agree","strongly agree","agree",19,TRUE,"strongly agree","strongly agree",8,172,168
"211","strongly agree","disagree","agree","strongly agree","strongly agree",17,TRUE,"disagree","disagree",4,155,11
"282","agree","disagree","disagree","agree","agree",13,TRUE,"disagree","agree",5,51,57
"353","agree","agree","agree","disagree","agree",14,TRUE,"disagree","agree",5,76,33
"53","agree","agree","agree","strongly agree","agree",16,TRUE,"agree","agree",6,139,73
"287","disagree","disagree","disagree","disagree","disagree",10,FALSE,"disagree","agree",5,1,43
