id|atm_id|trans_date|bal
1|1|2005-01-01|4
2|1|2005-01-02|43
3|1|2005-01-03|60
4|1|2005-01-04|49
5|1|2005-01-05|45
6|1|2005-01-06|58
7|1|2005-01-07|21
8|1|2005-01-08|3
9|1|2005-01-09|51
10|1|2005-01-10|64
11|1|2005-01-11|64
12|1|2005-01-12|63
13|1|2005-01-13|51
14|1|2005-01-14|27
15|1|2005-01-15|4
16|1|2005-01-16|42
17|1|2005-01-17|79
18|1|2005-01-18|72
19|1|2005-01-19|68
20|1|2005-01-20|51
21|1|2005-01-21|31
22|1|2005-01-22|8
23|1|2005-01-23|40
24|1|2005-01-24|58
25|1|2005-01-25|57
26|1|2005-01-26|76
27|1|2005-01-27|54
28|1|2005-01-28|31
29|1|2005-01-29|9
30|1|2005-01-30|53
31|1|2005-01-31|66
32|1|2005-02-01|76
33|1|2005-02-02|83
34|1|2005-02-03|80
35|1|2005-02-04|31
36|1|2005-02-05|6
37|1|2005-02-06|64
38|1|2005-02-07|92
39|1|2005-02-08|70
40|1|2005-02-09|77
41|1|2005-02-10|58
42|1|2005-02-11|28
43|1|2005-02-12|8
44|1|2005-02-13|38
45|1|2005-02-14|69
46|1|2005-02-15|58
47|1|2005-02-16|65
48|1|2005-02-17|57
49|1|2005-02-18|30
50|1|2005-02-19|1
51|1|2005-02-20|49
52|1|2005-02-21|89
53|1|2005-02-22|65
54|1|2005-02-23|73
55|1|2005-02-24|53
56|1|2005-02-25|26
57|1|2005-02-26|2
58|1|2005-02-27|48
59|1|2005-02-28|73
60|1|2005-03-01|74
61|1|2005-03-02|88
62|1|2005-03-03|57
63|1|2005-03-04|33
64|1|2005-03-05|3
65|1|2005-03-06|50
66|1|2005-03-07|63
67|1|2005-03-08|64
68|1|2005-03-09|73
69|1|2005-03-10|59
70|1|2005-03-11|28
71|1|2005-03-12|7
72|1|2005-03-13|56
73|1|2005-03-14|80
74|1|2005-03-15|60
75|1|2005-03-16|78
76|1|2005-03-17|57
77|1|2005-03-18|22
78|1|2005-03-19|2
79|1|2005-03-20|58
80|1|2005-03-21|83
81|1|2005-03-22|72
82|1|2005-03-23|73
83|1|2005-03-24|16
84|1|2005-03-25|24
85|1|2005-03-26|2
86|1|2005-03-27|5
87|1|2005-03-28|45
88|1|2005-03-29|82
89|1|2005-03-30|78
90|1|2005-03-31|60
91|1|2005-04-01|25
92|1|2005-04-02|2
93|1|2005-04-03|58
94|1|2005-04-04|79
95|1|2005-04-05|74
96|1|2005-04-06|62
97|1|2005-04-07|54
98|1|2005-04-08|29
99|1|2005-04-09|3
100|1|2005-04-10|59
101|1|2005-04-11|84
102|1|2005-04-12|67
103|1|2005-04-13|79
104|1|2005-04-14|66
105|1|2005-04-15|34
106|1|2005-04-16|2
107|1|2005-04-17|49
108|1|2005-04-18|83
109|1|2005-04-19|70
110|1|2005-04-20|53
111|1|2005-04-21|58
112|1|2005-04-22|35
113|1|2005-04-23|4
114|1|2005-04-24|51
115|1|2005-04-25|74
116|1|2005-04-26|70
117|1|2005-04-27|83
118|1|2005-04-28|61
119|1|2005-04-29|34
120|1|2005-04-30|9
121|1|2005-05-01|50
122|1|2005-05-02|76
123|1|2005-05-03|69
124|1|2005-05-04|10
125|1|2005-05-05|43
126|1|2005-05-06|39
127|1|2005-05-07|9
128|1|2005-05-08|51
129|1|2005-05-09|69
130|1|2005-05-10|84
131|1|2005-05-11|66
132|1|2005-05-12|68
133|1|2005-05-13|27
134|1|2005-05-14|2
135|1|2005-05-15|6
136|1|2005-05-16|44
137|1|2005-05-17|85
138|1|2005-05-18|88
139|1|2005-05-19|69
140|1|2005-05-20|30
141|1|2005-05-21|4
142|1|2005-05-22|50
143|1|2005-05-23|78
144|1|2005-05-24|79
145|1|2005-05-25|38
146|1|2005-05-26|72
147|1|2005-05-27|34
148|1|2005-05-28|6
149|1|2005-05-29|51
150|1|2005-05-30|71
151|1|2005-05-31|75
152|1|2005-06-01|73
153|1|2005-06-02|57
154|1|2005-06-03|33
155|1|2005-06-04|4
156|1|2005-06-05|68
157|1|2005-06-06|75
158|1|2005-06-07|89
159|1|2005-06-08|90
160|1|2005-06-09|84
161|1|2005-06-10|34
162|1|2005-06-11|4
163|1|2005-06-12|47
164|1|2005-06-13|73
165|1|2005-06-14|83
166|1|2005-06-15|69
167|1|2005-06-16|78
168|1|2005-06-17|45
169|1|2005-06-18|6
170|1|2005-06-19|49
171|1|2005-06-20|74
